gsm8k,1,87.42,274.74,3.14,6.00,382.1,127.2,33406,34959
gsm8k,2,150.21,397.59,2.65,5.99,225.4,87.4,33864,34767
gsm8k,4,240.39,544.55,2.27,5.88,150.3,60.8,36127,33113
gsm8k,8,357.96,668.72,1.87,5.92,97.5,50.5,34901,33774
gsm8k,16,460.39,1085.15,2.36,5.98,73.6,30.1,33891,32655
math500,1,90.33,203.79,2.26,4.72,969.4,405.7,87573,82681
math500,2,155.30,291.95,1.88,4.78,545.5,297.8,84716,86935
math500,4,258.88,411.98,1.59,4.69,311.7,197.3,80682,81277
math500,8,395.14,576.43,1.46,4.67,211.2,143.6,83469,82798
math500,16,546.17,840.97,1.54,4.90,152.5,99.1,83314,83319
humaneval,1,90.74,268.53,2.96,5.24,1241.9,428.3,112694,115016
humaneval,2,156.28,386.45,2.47,5.13,716.4,295.3,111959,114109
humaneval,4,262.06,552.75,2.11,5.14,429.0,205.8,112425,113752
humaneval,8,400.04,749.42,1.87,5.12,285.5,162.9,114212,122044
humaneval,16,545.13,1078.93,1.98,4.94,223.1,104.6,121594,112862
mbpp,1,90.87,248.66,2.74,4.69,1549.6,551.3,140809,137077
mbpp,2,157.18,361.02,2.30,4.65,885.7,387.4,139213,139857
mbpp,4,267.69,525.21,1.96,4.73,500.8,265.5,134061,139458
mbpp,8,410.59,736.76,1.79,4.63,340.2,187.0,139701,137750
mbpp,16,574.21,1066.52,1.86,4.71,235.2,127.3,135074,135777
mt-bench,1,90.92,176.62,1.94,3.87,1637.4,817.6,148875,144410
mt-bench,2,156.42,261.00,1.67,3.94,951.0,571.0,148765,149023
mt-bench,4,265.08,376.18,1.42,3.96,560.3,382.7,148511,143980
mt-bench,8,389.94,546.10,1.40,4.08,373.6,255.2,145693,139348
mt-bench,16,546.13,747.93,1.37,4.10,253.4,191.4,138384,143132
